MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,0,65,8450,1,2,3,4,5,6,7,8,9,9,10,11,7,5,2003,2003,12,13,14,14,15,196,16,17,18,16,17,19,20,706,21,0,150,856,22,23,24,25,856,854,0,1710,1,0,2,1,3,1,16,8,26,0,2,27,2003,28,2,548,17,17,24,0,61,0,0,0,0,2,2,2,0,2,2008,29,30,208500
20,0,80,9600,1,2,3,4,5,31,7,32,33,9,10,34,6,8,1976,1976,12,13,35,35,36,0,17,17,37,16,17,16,38,978,21,0,284,1262,22,23,24,25,1262,0,0,1262,0,1,2,0,3,1,17,6,26,1,17,27,1976,28,2,460,17,17,24,298,0,0,0,0,0,2,2,2,0,5,2007,29,30,181500
60,0,68,11250,1,2,39,4,5,6,7,8,9,9,10,11,7,5,2001,2002,12,13,14,14,15,162,16,17,18,16,17,40,20,486,21,0,434,920,22,23,24,25,920,866,0,1786,1,0,2,1,3,1,16,6,26,1,17,27,2001,28,2,608,17,17,24,0,42,0,0,0,0,2,2,2,0,9,2008,29,30,223500
70,0,60,9550,1,2,39,4,5,41,7,42,9,9,10,11,7,5,1915,1970,12,13,43,44,36,0,17,17,45,17,16,19,38,216,21,0,540,756,22,16,24,25,961,756,0,1717,1,0,1,0,3,1,16,7,26,1,16,46,1998,21,3,642,17,17,24,0,35,272,0,0,0,2,2,2,0,2,2006,29,47,140000
60,0,84,14260,1,2,39,4,5,31,7,48,9,9,10,11,8,5,2000,2000,12,13,14,14,15,350,16,17,18,16,17,49,20,655,21,0,490,1145,22,23,24,25,1145,1053,0,2198,1,0,2,1,4,1,16,9,26,1,17,27,2000,28,3,836,17,17,24,192,84,0,0,0,0,2,2,2,0,12,2008,29,30,250000
50,0,85,14115,1,2,39,4,5,6,7,50,9,9,10,51,5,5,1993,1995,12,13,14,14,36,0,17,17,52,16,17,19,20,732,21,0,64,796,22,23,24,25,796,566,0,1362,1,0,1,1,1,1,17,5,26,0,2,27,1993,21,2,480,17,17,24,40,30,0,320,0,0,2,53,54,700,10,2009,29,30,143000
20,0,75,10084,1,2,3,4,5,6,7,55,9,9,10,34,8,5,2004,2005,12,13,14,14,56,186,16,17,18,23,17,49,20,1369,21,0,317,1686,22,23,24,25,1694,0,0,1694,1,0,2,0,3,1,16,7,26,1,16,27,2004,28,2,636,17,17,24,255,57,0,0,0,0,2,2,2,0,8,2007,29,30,307000
60,0,2,10382,1,2,39,4,5,41,7,57,58,9,10,11,7,6,1973,1973,12,13,59,59,56,240,17,17,37,16,17,40,38,859,60,32,216,1107,22,23,24,25,1107,983,0,2090,1,0,2,1,3,1,17,7,26,2,17,27,1973,28,2,484,17,17,24,235,204,228,0,0,0,2,2,54,350,11,2009,29,30,200000
50,61,51,6120,1,2,3,4,5,6,7,62,63,9,10,51,7,5,1931,1950,12,13,15,44,36,0,17,17,45,17,17,19,21,0,21,0,952,952,22,16,24,64,1022,752,0,1774,0,0,2,0,2,2,17,8,65,2,17,46,1931,21,2,468,66,17,24,90,0,205,0,0,0,2,2,2,0,4,2008,29,47,129900
190,0,50,7420,1,2,3,4,5,41,7,67,63,63,68,69,5,6,1939,1950,12,13,35,35,36,0,17,17,45,17,17,19,20,851,21,0,140,991,22,23,24,25,1077,0,0,1077,1,0,1,0,2,2,17,5,26,2,17,27,1939,28,1,205,16,17,24,0,4,0,0,0,0,2,2,2,0,1,2008,29,30,118000
